date, pm25, pm10, o3, no2, so2, co
1/2, 450, 422, 30, 7, 7, 33
1/3, 331, 260, 17, 3, 5, 21
1/4, 238, 159, 28, 7, 5, 8
1/5, 197, 137, 16, 27, 5, 7
1/6, 175, 142, 7, 30, 6, 8
1/7, 182, 99, 9, 22, 6, 5
1/8, 160, 90, 6, 18, 4, 5
1/9, 164, 89, 9, 13, 5, 4
1/10, 155, 125, 13, 21, 6, 9
1/11, 178, 157, 18, 25, 6, 17
1/12, 190, 291, 13, 29, 7, 17
1/13, 267, 201, 12, 23, 5, 6
1/14, 230, 102, 11, 15, 5, 5
1/15, 164, 98, 8, 15, 4, 7
1/16, 159, 113, 9, 17, 6, 7
1/17, 174, 92, 13, 13, 6, 11
1/18, 163, 119, 13, 17, 5, 6
1/19, 178, 112, 17, 12, 4, 5
1/20, 173, 152, 12, 15, 5, 17
1/21, 191, 216, 10, 25, 5, 19
1/22, 225, 202, 12, 24, 4, 5
1/23, 223, 88, 18, 4, 5, 4
1/24, 129, 106, 21, 14, 7, 12
1/25, 137, 179, 18, 20, 6, 17
1/26, 196, 204, 16, 31, 6, 23
1/27, 227, 189, 5, 43, 5, 10
1/28, 212, 101, 9, 11, 5, 4
1/29, 167, 78, 11, 2, 6, 1
1/30, 135, 102, 9, 16, 5, 6
1/31, 125, 125, 12, 17, 5, 9
2/1, 150, 163, 16, 13, 4, 8
2/2, 165, 135, 15, 16, 5, 7
2/3, 171, 203, 18, 21, 5, 15
2/4, 180, 286, 18, 36, 5, 18
2/5, 227, 172, 17, 21, 4, 7
2/6, 184, 154, 17, 17, 5, 9
2/7, 167, 174, 14, 14, 5, 10
2/8, 189, 172, 19, 19, 4, 1
2/9, 203, 163, 15, 30, 5, 10
2/10, 172, 246, 18, 31, 5, 11
2/11, 219, 240, 16, 39, 4, 9
2/12, 214, 221, 18, 29, 4, 3
2/13, 216, 128, 16, 14, 5, 3
2/14, 152, 180, 14, 17, 5, 2
2/15, 133, 126, 17, 21, 5, 4
2/16, 146, 184, 18, 37, 5, 9
2/17, 184, 174, 16, 39, 5, 6
2/18, 191, 193, 18, 38, 6, 8
2/19, 176, 144, 17, 34, 4, 4
2/20, 166, 138, 18, 20, 5, 2
2/21, 156, 66, 10, 19, 5, 3
2/22, 98, 98, 10, 19, 5, 7
2/23, 132, 104, 12, 23, 4, 4
2/24, 149, 96, 11, 22, 5, 5
2/25, 134, 144, 14, 23, 5, 6
2/26, 181, 170, 14, 27, 5, 6
2/27, 191, 107, 16, 19, 4, 3
2/28, 160, 94, 14, 13, 4, 2
2/29, 149, 69, 11, 12, 4, 1
3/1, 122, 71, 16, 13, 5, 8
3/2, 97, 116, 19, 17, 5, 8
3/3, 155, 122, 3, 26, 5, 11
3/4, 136, 104, 20, 16, 4, 5
3/5, 139, 47, 12, 12, 4, 2
3/6, 74, 34, 10, 11, 4, 1
3/7, 54, 72, 77, 12, 5, 9
3/8, 103, 85, 11, 11, 4, 5
3/9, 124, 98, 3, 10, 7, 7
3/10, 124, 96, 3, 11, 6, 2
3/11, 138, 68, 3, 10, 5, 1
