date, pm25, pm10, o3, no2, so2, co
1/5, 180, 67, 5, 22, 6, 13
1/6, 157, 106, 9, 18, 6, 12
1/7, 221, 104, 27, 12, 5, 12
1/8, 201, 135, 11, 19, 4, 12
1/9, 231, 126, 23, 16, 7, 11
1/10, 223, 111, 30, 11, 5, 11
1/11, 203, 110, 35, 14, 5, 11
1/12, 197, 200, 36, 18, 7, 19
1/13, 285, 336, 34, 10, 8, 23
1/14, 410, 541, 19, 8, 8, 26
1/15, 541, 473, 28, 9, 16, 28
1/16, 496, 241, 31, 26, 5, 14
1/17, 350, 176, 16, 18, 5, 13
1/18, 308, 238, 17, 19, 8, 24
1/19, 319, 242, 14, 14, 4, 13
1/20, 333, 108, 22, 14, 4, 12
1/21, 199, 146, 38, 20, 6, 18
1/22, 228, 172, 16, 19, 5, 14
1/23, 289, 142, 26, 17, 5, 14
1/24, 235, 193, 13, 16, 5, 14
1/25, 310, 181, 28, 15, 6, 18
1/26, 256, 184, 41, 18, 7, 12
1/27, 279, 197, 38, 22, 8, 18
1/28, 253, 302, 27, 31, 13, 21
1/29, 366, 200, 39, 27, 6, 13
1/30, 285, 144, 33, 32, 8, 17
1/31, 217, 195, 44, 24, 10, 21
2/1, 251, 236, 36, 25, 8, 28
2/2, 299, 222, 40, 30, 12, 18
2/3, 273, 166, 24, 26, 10, 13
2/4, 230, 128, 14, 25, 6, 13
2/5, 195, 94, 25, 22, 3, 19
2/6, 171, 105, 22, 21, 8, 11
2/7, 174, 152, 31, 22, 11, 17
2/8, 232, 163, 34, 25, 11, 17
2/9, 254, 151, 19, 25, 13, 30
2/10, 190, 162, 35, 26, 11, 18
2/11, 231, 191, 36, 28, 12, 17
2/12, 267, 249, 33, 26, 14, 22
2/13, 314, 183, 32, 26, 10, 18
2/14, 246, 203, 37, 24, 10, 25
2/15, 265, 165, 32, 24, 9, 21
2/16, 231, 204, 34, 29, 12, 18
2/17, 250, 212, 34, 29, 12, 20
2/18, 253, 192, 30, 29, 11, 19
2/19, 229, 180, 22, 30, 11, 19
3/25, 146, 92, 43, 13, 12, 12
3/26, 140, 139, 61, 19, 19, 15
3/27, 165, 144, 72, 25, 13, 15
3/28, 169, 120, 81, 21, 10, 14
3/31, 97, 102, 42, 10, 11, 11
4/1, 86, 125, 43, 10, 17, 11
4/2, 120, 238, 53, 17, 20, 11
4/3, 137, 129, 55, 28, 15, 18
4/4, 142, 138, 47, 26, 12, 14
4/5, 146, 197, 50, 41, 12, 18
4/8, 146, 103, 47, 21, 12, 15
4/9, 122, 143, 42, 26, 11, 16
4/10, 134, 125, 46, 28, 10, 14
4/11, 139, 151, 50, 26, 14, 17
4/12, 150, 180, 59, 28, 15, 15
4/15, 138, 161, 43, 26, 14, 15
4/16, 150, 223, 20, 21, 11, 13
4/17, 132, 108, 43, 14, 10, 13
4/20, 120, 136, 53, 19, 15, 10
4/21, 139, 82, 53, 9, 13, 11
4/22, 122, 87, 65, 11, 10, 11
4/23, 125, 95, 43, 11, 12, 11
4/24, 131, 71, 63, 13, 11, 10
4/25, 99, 124, 71, 20, 14, 14
4/26, 155, 185, 89, 25, 25, 15
5/3, 147, 206, 45, 13, 12, 15
5/5, 140, 117, 69, 11, 11, 13
5/6, 149, 100, 60, 8, 10, 12
5/7, 136, 90, 96, 18, 10, 13
5/8, 133, 79, 98, 18, 9, 13
5/9, 127, 91, 90, 8, 9, 12
5/10, 128, 105, 79, 13, 9, 13
